Wall time,Step,Value
1650783488.8922765,1,0.9230000376701355
1650783580.7402785,2,0.9280000329017639
1650783671.341203,3,0.9290000200271606
1650783764.3859198,4,0.9310000538825989
1650783853.754714,5,0.9310000538825989
1650783944.6388183,6,0.9330000281333923
1650784034.6024091,7,0.9330000281333923
1650784124.3351598,8,0.9330000281333923
1650784214.59608,9,0.9340000152587891
1650784305.9072008,10,0.9360000491142273
1650784397.117736,11,0.9360000491142273
1650784491.4407415,12,0.937000036239624
1650784583.140541,13,0.940000057220459
1650784674.4225392,14,0.940000057220459
1650784765.4970732,15,0.940000057220459
1650784856.795894,16,0.940000057220459
1650784947.770315,17,0.940000057220459
1650785039.2670074,18,0.940000057220459
1650785130.6633418,19,0.940000057220459
1650785222.2044387,20,0.940000057220459
1650785313.3169608,21,0.940000057220459
1650785404.8389027,22,0.940000057220459
1650785496.9770935,23,0.9410000443458557
1650785588.3585274,24,0.9410000443458557
1650785679.5768735,25,0.9410000443458557
1650785769.5139942,26,0.9410000443458557
1650785859.5727744,27,0.9410000443458557
1650785949.5714996,28,0.9410000443458557
1650786041.066723,29,0.9430000185966492
1650786132.2813513,30,0.9430000185966492
1650786223.0903032,31,0.9430000185966492
1650786313.5231042,32,0.9430000185966492
