Wall time,Step,Value
1650796142.476238,1,0.9290000200271606
1650796327.391364,2,0.9330000281333923
1650796515.4149513,3,0.9380000233650208
1650796702.4990425,4,0.940000057220459
1650796887.1695163,5,0.9430000185966492
1650797073.7387612,6,0.9460000395774841
1650797256.650085,7,0.9470000267028809
1650797437.3528728,8,0.9470000267028809
1650797618.0127614,9,0.9470000267028809
1650797801.2453988,10,0.9470000267028809
1650797981.9361227,11,0.9470000267028809
1650798164.6377442,12,0.9470000267028809
1650798346.3202326,13,0.9470000267028809
1650798527.0455587,14,0.9470000267028809
1650798708.7037365,15,0.9470000267028809
1650798889.9933734,16,0.9470000267028809
1650799070.0247343,17,0.9470000267028809
1650799251.9448912,18,0.9470000267028809
1650799433.7750978,19,0.9470000267028809
1650799614.8596847,20,0.9470000267028809
1650799796.71846,21,0.9470000267028809
1650799979.3202164,22,0.9470000267028809
1650800159.4591956,23,0.9470000267028809
1650800342.3272595,24,0.9470000267028809
1650800525.484886,25,0.9470000267028809
1650800705.131561,26,0.9470000267028809
1650800887.6740613,27,0.9470000267028809
1650801069.097083,28,0.9470000267028809
1650801249.76915,29,0.9470000267028809
1650801432.3950117,30,0.9470000267028809
1650801614.2999158,31,0.9470000267028809
1650801795.681254,32,0.9470000267028809
