Wall time,Step,Value
1650793323.0550475,1,0.9270000457763672
1650793404.299294,2,0.9330000281333923
1650793480.8504922,3,0.9340000152587891
1650793557.034561,4,0.937000036239624
1650793631.7303529,5,0.937000036239624
1650793707.4414942,6,0.9380000233650208
1650793782.1319396,7,0.9380000233650208
1650793856.5698001,8,0.9380000233650208
1650793931.4305778,9,0.9380000233650208
1650794006.076931,10,0.9380000233650208
1650794080.6476943,11,0.9380000233650208
1650794155.3610942,12,0.9380000233650208
1650794229.8344517,13,0.9380000233650208
1650794305.5753489,14,0.9380000233650208
1650794381.7344425,15,0.9380000233650208
1650794457.9826698,16,0.9380000233650208
1650794534.0231347,17,0.9380000233650208
1650794611.3576663,18,0.9390000700950623
1650794687.410336,19,0.9390000700950623
1650794763.6185718,20,0.9390000700950623
1650794838.7092412,21,0.9390000700950623
1650794914.0455425,22,0.9390000700950623
1650794989.458098,23,0.9390000700950623
1650795064.3230712,24,0.9390000700950623
1650795139.2918603,25,0.9390000700950623
1650795214.4043274,26,0.9390000700950623
1650795290.0926495,27,0.9390000700950623
1650795365.1604548,28,0.9390000700950623
1650795441.8862243,29,0.9390000700950623
1650795518.299641,30,0.9390000700950623
1650795594.3229618,31,0.9390000700950623
1650795670.5283563,32,0.9390000700950623
