Wall time,Step,Value
1650795743.3023434,1,0.8800000548362732
1650795811.925827,2,0.8920000195503235
1650795876.5108056,3,0.9000000357627869
1650795940.8972468,4,0.9120000600814819
1650796002.5741146,5,0.9120000600814819
1650796065.0270233,6,0.9130000472068787
1650796126.7275014,7,0.9160000681877136
1650796189.3923402,8,0.9180000424385071
1650796250.746091,9,0.921000063419342
1650796315.536537,10,0.9250000715255737
1650796376.3359532,11,0.9280000329017639
1650796441.2324874,12,0.9290000200271606
1650796501.3400092,13,0.9310000538825989
1650796560.8795273,14,0.9310000538825989
1650796620.5122526,15,0.9310000538825989
1650796681.3075104,16,0.9340000152587891
1650796740.762157,17,0.9340000152587891
1650796800.3412006,18,0.9340000152587891
1650796860.9641798,19,0.9340000152587891
1650796922.7987063,20,0.9360000491142273
1650796983.8326247,21,0.9360000491142273
1650797045.5865705,22,0.937000036239624
1650797106.7970843,23,0.937000036239624
1650797168.0495527,24,0.937000036239624
1650797229.1865168,25,0.937000036239624
1650797290.3323174,26,0.937000036239624
1650797351.467043,27,0.937000036239624
1650797412.6843188,28,0.937000036239624
1650797473.8023598,29,0.937000036239624
1650797535.010261,30,0.937000036239624
1650797596.8872576,31,0.9390000700950623
1650797657.9982917,32,0.9390000700950623
