Wall time,Step,Value
1650864348.5283098,1,0.9330000281333923
1650864479.0280511,2,0.9360000491142273
1650864609.0143492,3,0.937000036239624
1650864738.0409985,4,0.940000057220459
1650864866.1378634,5,0.940000057220459
1650864996.1631505,6,0.9420000314712524
1650865125.3969808,7,0.9420000314712524
1650865254.1938941,8,0.9420000314712524
1650865382.5046282,9,0.9420000314712524
1650865510.0679047,10,0.9420000314712524
1650865638.2750893,11,0.9420000314712524
1650865766.221827,12,0.9420000314712524
1650865893.6720245,13,0.9420000314712524
1650866021.690308,14,0.9420000314712524
1650866150.26507,15,0.9430000185966492
1650866277.504363,16,0.9430000185966492
1650866404.7649872,17,0.9430000185966492
1650866532.984969,18,0.9430000185966492
1650866660.922519,19,0.9430000185966492
1650866788.1901062,20,0.9430000185966492
1650866915.5971673,21,0.9430000185966492
1650867043.6669376,22,0.9430000185966492
1650867171.8476017,23,0.9430000185966492
1650867300.407322,24,0.9430000185966492
1650867429.6452587,25,0.9430000185966492
1650867558.9734495,26,0.9430000185966492
1650867687.663688,27,0.9430000185966492
1650867817.0211477,28,0.9430000185966492
1650867945.944188,29,0.9430000185966492
1650868075.4259858,30,0.9430000185966492
1650868205.0471518,31,0.9430000185966492
1650868333.7280777,32,0.9430000185966492
