Wall time,Step,Value
1650805964.7303264,1,0.9310000538825989
1650806122.225559,2,0.937000036239624
1650806275.2280767,3,0.937000036239624
1650806430.9853625,4,0.9390000700950623
1650806584.7080207,5,0.9390000700950623
1650806738.5316632,6,0.940000057220459
1650806892.7155924,7,0.940000057220459
1650807046.5152152,8,0.940000057220459
1650807200.3810065,9,0.940000057220459
1650807354.5757205,10,0.940000057220459
1650807508.2730882,11,0.940000057220459
1650807661.269744,12,0.940000057220459
1650807814.5808914,13,0.940000057220459
1650807968.709802,14,0.940000057220459
1650808122.1749833,15,0.940000057220459
1650808276.6098175,16,0.9410000443458557
1650808430.166173,17,0.9410000443458557
1650808585.4537852,18,0.9430000185966492
1650808740.0356004,19,0.9430000185966492
1650808894.2485223,20,0.9430000185966492
1650809048.5330877,21,0.9430000185966492
1650809203.539782,22,0.9430000185966492
1650809357.2638934,23,0.9430000185966492
1650809511.6333444,24,0.9430000185966492
1650809666.7345839,25,0.9440000653266907
1650809820.42325,26,0.9440000653266907
1650809974.9214149,27,0.9440000653266907
1650810129.4425013,28,0.9440000653266907
1650810282.5414603,29,0.9440000653266907
1650810437.3358917,30,0.9440000653266907
1650810592.089642,31,0.9440000653266907
1650810747.2896538,32,0.9440000653266907
