Wall time,Step,Value
1650789490.1827657,1,0.9094622135162354
1650789538.5459816,2,0.9135531783103943
1650789588.1436565,3,0.915614902973175
1650789637.3255043,4,0.9206861853599548
1650789685.9887724,5,0.9231555461883545
1650789733.5939467,6,0.9231555461883545
1650789781.423838,7,0.9231555461883545
1650789829.5575747,8,0.9231555461883545
1650789877.5325553,9,0.9231555461883545
1650789925.559001,10,0.9236853122711182
1650789975.0075507,11,0.9239611029624939
1650790023.4425907,12,0.9239611029624939
1650790071.5793796,13,0.9239611029624939
1650790120.0192022,14,0.925989031791687
1650790168.405603,15,0.925989031791687
1650790218.0473385,16,0.9273862838745117
1650790266.1402614,17,0.9273862838745117
1650790314.7744553,18,0.9292050004005432
1650790362.9440432,19,0.9292050004005432
1650790411.8099868,20,0.9292050004005432
1650790460.9539416,21,0.9292050004005432
1650790509.721781,22,0.9292050004005432
1650790558.4758825,23,0.9297836422920227
1650790608.0267808,24,0.9321321249008179
1650790656.6742651,25,0.9321321249008179
1650790705.257289,26,0.9321321249008179
1650790753.70236,27,0.9321321249008179
1650790801.4225936,28,0.9321321249008179
1650790849.0653865,29,0.9321321249008179
1650790896.947722,30,0.9321321249008179
1650790944.822027,31,0.9321321249008179
1650790993.3497167,32,0.9337702393531799
