Wall time,Step,Value
1650864348.527324,1,0.9302277565002441
1650864479.0279605,2,0.9358385801315308
1650864609.014254,3,0.9370588660240173
1650864738.0408626,4,0.9373499751091003
1650864866.1377728,5,0.9377772212028503
1650864996.1630664,6,0.9416377544403076
1650865125.3968854,7,0.9426168203353882
1650865254.1937554,8,0.9426168203353882
1650865382.5045485,9,0.9426168203353882
1650865510.0678005,10,0.9426168203353882
1650865638.2750034,11,0.9426168203353882
1650865766.2217312,12,0.9426168203353882
1650865893.6719406,13,0.9426168203353882
1650866021.6902037,14,0.9426168203353882
1650866150.2649887,15,0.9433414340019226
1650866277.5042493,16,0.9433414340019226
1650866404.7649088,17,0.9433414340019226
1650866532.9848757,18,0.9433414340019226
1650866660.9224393,19,0.9433414340019226
1650866788.189968,20,0.9433414340019226
1650866915.597089,21,0.9433414340019226
1650867043.666858,22,0.9433414340019226
1650867171.84751,23,0.9433414340019226
1650867300.4071765,24,0.9433414340019226
1650867429.6451392,25,0.9433414340019226
1650867558.9733655,26,0.9433414340019226
1650867687.6635919,27,0.9433414340019226
1650867817.0210123,28,0.9433414340019226
1650867945.9440806,29,0.9433414340019226
1650868075.4258978,30,0.9433414340019226
1650868205.047032,31,0.9433414340019226
1650868333.7279446,32,0.9433414340019226
